EG;sesso;primogenito;L;M;S
23;F;NO;1,173;21,2;0,0613
24;F;NO;1,182;22,1;0,0605
25;F;NO;1,196;22,9;0,0597
26;F;NO;1,215;23,8;0,0588
27;F;NO;1,242;24,8;0,0578
28;F;NO;1,281;25,7;0,0567
29;F;NO;1,337;26,7;0,0554
30;F;NO;1,416;27,7;0,054
31;F;NO;1,526;28,7;0,0522
32;F;NO;1,674;29,6;0,0502
33;F;NO;1,86;30,6;0,0479
34;F;NO;2,073;31,4;0,0453
35;F;NO;2,285;32,2;0,0426
36;F;NO;2,448;32,9;0,0399
37;F;NO;2,513;33,4;0,0375
38;F;NO;2,45;33,9;0,0355
39;F;NO;2,274;34,2;0,0341
40;F;NO;2,032;34,4;0,0331
41;F;NO;1,779;34,6;0,0327
42;F;NO;1,557;34,7;0,0326
23;F;SI;1,17;21,1;0,0618
24;F;SI;1,18;21,9;0,061
25;F;SI;1,193;22,8;0,0602
26;F;SI;1,212;23,7;0,0593
27;F;SI;1,238;24,6;0,0583
28;F;SI;1,276;25,5;0,0572
29;F;SI;1,331;26,5;0,0559
30;F;SI;1,409;27,5;0,0544
31;F;SI;1,517;28,4;0,0527
32;F;SI;1,662;29,4;0,0507
33;F;SI;1,844;30,3;0,0483
34;F;SI;2,053;31,2;0,0457
35;F;SI;2,259;32;0,043
36;F;SI;2,417;32,6;0,0403
37;F;SI;2,479;33,2;0,0379
38;F;SI;2,416;33,6;0,036
39;F;SI;2,242;33,9;0,0345
40;F;SI;2,005;34,1;0,0336
41;F;SI;1,758;34,3;0,0331
42;F;SI;1,541;34,4;0,0331
23;M;NO;1,179;21,6;0,0602
24;M;NO;1,189;22,5;0,0595
25;M;NO;1,203;23,4;0,0587
26;M;NO;1,223;24,3;0,0578
27;M;NO;1,251;25,2;0,0568
28;M;NO;1,291;26,2;0,0557
29;M;NO;1,349;27,2;0,0544
30;M;NO;1,431;28,2;0,053
31;M;NO;1,546;29,2;0,0513
32;M;NO;1,7;30,2;0,0493
33;M;NO;1,894;31,1;0,047
34;M;NO;2,119;32;0,0444
35;M;NO;2,343;32,8;0,0417
36;M;NO;2,518;33,5;0,039
37;M;NO;2,591;34;0,0366
38;M;NO;2,531;34,5;0,0346
39;M;NO;2,349;34,8;0,0331
40;M;NO;2,094;35;0,0322
41;M;NO;1,828;35,2;0,0317
42;M;NO;1,592;35,3;0,0317
23;M;SI;1,176;21,5;0,0607
24;M;SI;1,186;22,3;0,0599
25;M;SI;1,2;23,2;0,0591
26;M;SI;1,219;24,1;0,0582
27;M;SI;1,247;25;0,0572
28;M;SI;1,287;26;0,0561
29;M;SI;1,343;27;0,0549
30;M;SI;1,424;28;0,0534
31;M;SI;1,537;29;0,0517
32;M;SI;1,688;29,9;0,0497
33;M;SI;1,879;30,9;0,0474
34;M;SI;2,098;31,8;0,0448
35;M;SI;2,316;32,5;0,0421
36;M;SI;2,486;33,2;0,0394
37;M;SI;2,556;33,8;0,037
38;M;SI;2,494;34,2;0,035
39;M;SI;2,315;34,5;0,0335
40;M;SI;2,066;34,8;0,0326
41;M;SI;1,806;34,9;0,0321
42;M;SI;1,576;35;0,0321
