EG;sesso;primogenito;L;M;S
23;F;NO;1,331;30;0,0697
24;F;NO;1,346;31,1;0,0687
25;F;NO;1,364;32,4;0,0676
26;F;NO;1,387;33,7;0,0664
27;F;NO;1,418;35;0,0652
28;F;NO;1,46;36,3;0,0638
29;F;NO;1,519;37,7;0,0623
30;F;NO;1,601;39,2;0,0606
31;F;NO;1,718;40,6;0,0587
32;F;NO;1,88;42,1;0,0564
33;F;NO;2,1;43,5;0,0538
34;F;NO;2,385;44,9;0,0507
35;F;NO;2,726;46,2;0,0474
36;F;NO;3,091;47,3;0,0439
37;F;NO;3,414;48,3;0,0405
38;F;NO;3,607;49,1;0,0373
39;F;NO;3,598;49,8;0,0348
40;F;NO;3,372;50,3;0,0328
41;F;NO;2,985;50,6;0,0316
42;F;NO;2,537;50,9;0,0309
23;F;SI;1,325;29,7;0,0703
24;F;SI;1,339;30,9;0,0693
25;F;SI;1,357;32,1;0,0682
26;F;SI;1,38;33,4;0,067
27;F;SI;1,41;34,7;0,0658
28;F;SI;1,452;36;0,0644
29;F;SI;1,509;37,4;0,0629
30;F;SI;1,59;38,9;0,0612
31;F;SI;1,704;40,3;0,0592
32;F;SI;1,863;41,7;0,057
33;F;SI;2,078;43,2;0,0543
34;F;SI;2,355;44,5;0,0513
35;F;SI;2,687;45,8;0,048
36;F;SI;3,04;46,9;0,0444
37;F;SI;3,35;47,9;0,041
38;F;SI;3,533;48,7;0,0379
39;F;SI;3,518;49,4;0,0353
40;F;SI;3,294;49,9;0,0334
41;F;SI;2,917;50,2;0,0321
42;F;SI;2,482;50,5;0,0314
23;M;NO;1,343;30,4;0,0685
24;M;NO;1,358;31,6;0,0675
25;M;NO;1,377;32,9;0,0664
26;M;NO;1,401;34,2;0,0652
27;M;NO;1,433;35,5;0,064
28;M;NO;1,477;36,9;0,0627
29;M;NO;1,538;38,4;0,0612
30;M;NO;1,624;39,8;0,0595
31;M;NO;1,745;41,3;0,0576
32;M;NO;1,915;42,8;0,0553
33;M;NO;2,145;44,2;0,0527
34;M;NO;2,443;45,6;0,0497
35;M;NO;2,804;46,9;0,0464
36;M;NO;3,192;48,1;0,0429
37;M;NO;3,541;49,1;0,0394
38;M;NO;3,757;49,9;0,0363
39;M;NO;3,76;50,6;0,0337
40;M;NO;3,53;51,1;0,0318
41;M;NO;3,126;51,5;0,0305
42;M;NO;2,65;51,7;0,0298
23;M;SI;1,337;30,2;0,0691
24;M;SI;1,352;31,4;0,0681
25;M;SI;1,37;32,6;0,067
26;M;SI;1,394;33,9;0,0658
27;M;SI;1,425;35,3;0,0646
28;M;SI;1,468;36,6;0,0632
29;M;SI;1,528;38;0,0618
30;M;SI;1,612;39,5;0,0601
31;M;SI;1,731;41;0,0581
32;M;SI;1,897;42,4;0,0559
33;M;SI;2,122;43,9;0,0532
34;M;SI;2,413;45,2;0,0502
35;M;SI;2,763;46,5;0,0469
36;M;SI;3,139;47,7;0,0434
37;M;SI;3,474;48,7;0,04
38;M;SI;3,679;49,5;0,0368
39;M;SI;3,675;50,2;0,0343
40;M;SI;3,447;50,7;0,0323
41;M;SI;3,052;51;0,031
42;M;SI;2,591;51,3;0,0303
