EG;sesso;primogenito;L;M;S
23;F;NO;1,032;555;0,172
24;F;NO;1,026;631;0,191
25;F;NO;1,023;717;0,204
26;F;NO;1,022;815;0,211
27;F;NO;1,022;925;0,214
28;F;NO;1,022;1051;0,214
29;F;NO;1,025;1194;0,211
30;F;NO;1,029;1355;0,205
31;F;NO;1,036;1537;0,199
32;F;NO;1,049;1740;0,191
33;F;NO;1,072;1966;0,181
34;F;NO;1,111;2210;0,171
35;F;NO;1,173;2467;0,16
36;F;NO;1,259;2724;0,147
37;F;NO;1,354;2963;0,135
38;F;NO;1,42;3166;0,124
39;F;NO;1,415;3322;0,116
40;F;NO;1,341;3431;0,111
41;F;NO;1,237;3502;0,11
42;F;NO;1,145;3545;0,111
23;F;SI;1,03;537;0,177
24;F;SI;1,025;610;0,197
25;F;SI;1,022;693;0,21
26;F;SI;1,02;788;0,217
27;F;SI;1,02;895;0,22
28;F;SI;1,021;1017;0,22
29;F;SI;1,023;1155;0,217
30;F;SI;1,027;1311;0,211
31;F;SI;1,034;1487;0,204
32;F;SI;1,047;1684;0,196
33;F;SI;1,068;1901;0,187
34;F;SI;1,105;2138;0,176
35;F;SI;1,163;2386;0,165
36;F;SI;1,243;2635;0,152
37;F;SI;1,331;2866;0,14
38;F;SI;1,39;3063;0,129
39;F;SI;1,384;3214;0,121
40;F;SI;1,314;3320;0,116
41;F;SI;1,218;3388;0,115
42;F;SI;1,133;3430;0,116
23;M;NO;1,035;579;0,166
24;M;NO;1,028;658;0,184
25;M;NO;1,025;748;0,197
26;M;NO;1,023;850;0,204
27;M;NO;1,023;965;0,206
28;M;NO;1,024;1096;0,206
29;M;NO;1,027;1245;0,203
30;M;NO;1,031;1413;0,198
31;M;NO;1,039;1603;0,191
32;M;NO;1,053;1815;0,184
33;M;NO;1,078;2050;0,175
34;M;NO;1,12;2305;0,165
35;M;NO;1,187;2573;0,154
36;M;NO;1,281;2841;0,142
37;M;NO;1,386;3090;0,13
38;M;NO;1,46;3302;0,119
39;M;NO;1,459;3465;0,11
40;M;NO;1,379;3579;0,106
41;M;NO;1,265;3653;0,104
42;M;NO;1,163;3698;0,105
23;M;SI;1,033;561;0,17
24;M;SI;1,026;637;0,19
25;M;SI;1,023;724;0,202
26;M;SI;1,022;823;0,209
27;M;SI;1,022;935;0,212
28;M;SI;1,023;1062;0,212
29;M;SI;1,025;1206;0,209
30;M;SI;1,029;1369;0,204
31;M;SI;1,037;1553;0,197
32;M;SI;1,05;1758;0,189
33;M;SI;1,074;1986;0,18
34;M;SI;1,113;2233;0,169
35;M;SI;1,177;2492;0,158
36;M;SI;1,265;2752;0,146
37;M;SI;1,362;2993;0,134
38;M;SI;1,429;3199;0,123
39;M;SI;1,426;3357;0,115
40;M;SI;1,35;3467;0,11
41;M;SI;1,244;3538;0,109
42;M;SI;1,149;3582;0,11
