ICD9;Descrizione;ICD9Co
2280;EMANGIOMA;
22801;EMANGIOMA DELLA CUTE E DEL TESSUTO SOTTOCUTANEO;
22804;EMANGIOMA DELLE STRUTTURE INTRAADDOMINALI;
22809;EMANGIOMA DI ALTRE SEDI;
243;IPOTIROIDISMO CONGENITO;
2599;DISORDINE ENDOCRINO NON SPECIFICATO;
36900;CECITA DI ENTRAMBI GLI OCCHI, LIVELLO DI DANNO NON ULTERIORMENTE SPECIFICATO;
37103;OPACITA CENTRALE DELLA CORNEA;
37743;IPOPLASIA DEL NERVO OTTICO;
4481;NEVO, NON NEOPLASTICO;
4489;ALTRE E NON SPECIFICATE MALATTIE DEI CAPILLARI;
5260;CISTI ODONTOGENICHE DELLO SVILUPPO;
59382;FISTOLA URETERALE;
5939;PATOLOGIA NON SPECIFICATA DEL RENE E DELL'URETERE;
6202;ALTRA CISTE OVARICA NON SPECIFICATA;
70900;DISCROMIA, NON SPECIFICATA;
7091;ALTERAZIONI VASCOLARI DELLA CUTE;
7098;ALTRE ALTERAZIONI SPECIFICATE DELLA CUTE;
7283;ALTRI SPECIFICI DISTURBI MUSCOLARI;
7289;DISTURBI NON SPECIFICATI DI MUSCOLI, LEGAMENTI E FASCE;
73399;ALTRI DISTURBI DELLE OSSA E DELLE CARTILAGINI;
760;Patologie materne ed esposizione fetale;
7710;ROSOLIA CONGENITA;
7712;ALTRE INFEZIONI CONGENITE, SPECIFICHE DEL PERIODO PERINATALE;
7750;MADRE DIABETICA;
7359;DEFORMAZIONI DELLE DITA DEL PIEDE NON SPECIFICATE;
73629;ALTRE DEFORMAZIONI ACQUISITE DELLE DITA;
2281;LINFANGIOMA, OGNI SEDE;
23770;NEUROFIBROMATOSI, NON SPECIFICATO;
2552;SINDROMI ADRENOGENITALI;
2594;NANISMO, NON CLASSIFICATO ALTROVE;
2711;GALATTOSEMIA;
3154;DISTURBO DI SVILUPPO DELLA COORDINAZIONE;
3313;IDROCEFALO COMUNICANTE;7423
3314;IDROCEFALO OSTRUTTIVO;7423
3480;Cisti cerebrale;7424
3488;ALTRE CONDIZIONI MORBOSE DELL'ENCEFALO;
3489;CONDIZIONI MORBOSE DELL'ENCEFALO NON SPECIFICATE;
37446;BLEFAROFIMOSI;
3962;INSUFFICIENZA DELLA VALVOLA MITRALE E STENOSI DELLA VALVOLA AORTICA;
41410;ANEURISMA CARDIACO (PARETE);
4243;DISTURBI DELLA VALVOLA POLMONARE;
4293;CARDIOMEGALIA;
4299;CARDIOPATIA NON SPECIFICATA;
44389;ALTRE MALATTIE VASCOLARI PERIFERICHE;
5240;MALFORMAZIONI CONGENITE  DEL CRANIO, DELLA FACCIA E DELLA MASCELLA;7540
53084;FISTOLA TRACHEO-ESOFAGEA;7503
5513;ERNIA DIAFRAMMATICA, CON GANGRENA;7566
5523;Ernia diaframmatica con ostr;7566
5533;ERNIA DIAFRAMMATICA, SENZA MENZIONE DI OSTRUZIONE O GANGRENA;7566
56089;ALTRA OCCLUSIONE SPECIFICATA DELL'INTESTINO;
5609;OCCLUSIONE INTESTINALE NON SPECIFICATA;
5651;Fistola anale;7512
591;IDRONEFROSI;7532
5935;IDROURETERE;
59370;REFLUSSO VESCICOURETERALE, NON SPECIFICATO O SENZANEFROPATIA DA REFLUSSO;7534
59371;REFLUSSO VESCICOURETERALE,CON NEFROPATIA DA REFLUSSO, MONOLATERALE;
59372;REFLUSSO VESCICOURETERALE,CON NEFROPATIA DA REFLUSSO, BILATERALE;
59373;REFLUSSO VESCICOURETERALE,CON NEFROPATIA DA REFLUSSO SAI;
60789;ALTRE PATOLOGIE SPECIFICATE DEL PENE;
7365;GENU RECURVATUM (ACQUISITO);
73671;PIEDE TORTO, ACQUISITO;
7628;Bande amniotiche;
7711;INFEZIONE CONGENITA DA VIRUS CITOMEGALICO;
7780;IDROPE FETALE NON DA ISOIMMUNIZZAZIONE;
78343;BASSA STATURA;
V4561;INTERVENTO ALLA CATARATTA;
4240;DISTURBI DELLA VALVOLA MITRALE;
4242;DISTURBI DELLA VALVOLA TRICUSPIDE;
0785;MALATTIA CITOMEGALICA;
27911;DIGEORGE VELOCARDIOFACIAL SYNDROME;
76076;SINDROME FETO ALCOLICA;
