ICD9;Patologia;eg;ricgg;isolata;sds
75471;PIEDE TALO CAVO;0;0;1;0
75479;ALTRE MALFORMAZIONI DEL PIEDE NON SPECIFICATE;0;0;1;0
7576;ANOMALIE SPECIFICATE DELLA MAMMELLA;0;0;1;0
75242;IMENE IMPERFORATO;0;0;1;0
75733;ANOMALIE CUTANEE DEL PIGMENTO, CONGENITE;0;0;1;0
75739;ALTRE ANOMALIE NON SPECIFICATE DELLA CUTE;0;0;1;0
7483;MALF LARING/TRAC NIA;0;0;1;0
75015;MACROGLOSSIA;0;0;1;0
7504;MALF ESOFAGO NAS;0;10;0;0
7505;STENOSI PILORICA CONG;0;0;1;0
7506;ERNIA IATALE CONGENITA;0;0;1;0
7510;DIVERTICOLO DI MECKEL;0;0;1;0
7519;MALF APP DIGERENTE SAI;0;10;1;0
7525;RITENZIONE TESTICOLO;0;0;1;0
75252;TESTICOLO RETRATTILE;0;0;1;0
75263;CURVAT ANORM CONGEN PENE;0;0;1;0
7541;MUSC STERNOCLEIDOM CONG;0;0;1;0
75433;SUBLUSS CONG ANCA BILAT;0;0;1;0
75560;MALF ARTI INFER SAI;0;10;1;0
75453;METATARSO VARO;0;0;1;0
75732;AMARTOMI VASCOLARI;0;0;1;0
7546;MALFORMAZIONI DEL PIEDE IN VALGISMO;0;0;1;0
7428;MALF SIST NERVOSO NIA;37;0;1;0
74366;MALFORM SPECIF ORBITA;37;0;1;0
7438;ALTRE ANOMALIE SPECIFICATE DELL'OCCHIO;0;0;1;0
74447;CISTI PREAURICOLARE;0;0;1;0
7449;ANOMALIE NON SPECIFICATE DELLA FACCIA E DEL COLLO;0;0;1;0
7458;ALTRE ANOM BULBO CARD E CHIUSURA SETTO;37;0;1;0
74689;ALTRE ANOM CONG DEL CUORE;0;0;1;0
7469;ANOMALIA DEL CUORE NON SPECIFICATA;0;0;1;0
7470;DOTTO ARTERIOSO PERVIO;37;0;1;0
7475;ASSENZA ART OMBELICALE;0;0;1;0
5240;GRAVI ANOMALIE DI MISURA DELLA MASCELLA (INFERIORE O SUPERIORE);0;0;1;0
74789;ALTR MALF CIRCOLATORIE;0;10;0;0
7575;MALF UNGHIA NAS;0;0;1;0
7424;MALFORM ENCEFALO NAS;37;0;1;0
75513;SINDATTILIA PIEDE SENZA FUSIONE OSSO;0;0;1;0
74423;MICROTIA;0;0;1;0
75561;COXA VALGA, CONGENITA;0;0;1;0
75562;COXA VARA, CONGENITA;0;0;1;0
7429;ANOMALIE NON SPECIFICATE DEL CERVELLO, DEL MIDOLLO SPINALE E DEL SISTEMA NERVOSO;37;0;1;0
75265;PENE NASCOSTO;0;0;1;0
75269;ALTRE ANOMALIE DEL PENE;0;0;1;0
7515;ALTRE ANOMALIE DELL'INTESTINO;0;0;1;0
7421;MICROCEFALIA;0;0;0;1
7422;DEFORMITA  CONGENITE CON RIDUZIONE DEL CERVELLO;37;0;0;0
7423;IDROCEFALO CONGENITO;37;0;1;0
74356;ALTRE ALTERAZIONI CONGENITE DELLA RETINA;37;0;1;0
7454;DIFETTO DEL SETTO INTERVENTRICOLARE;37;0;0;0
7750;SINDROME DEL NEONATO DI MADRE DIABETICA;0;0;1;0
7711;INFEZIONE CONGENITA DA VIRUS CITOMEGALICO;0;0;1;0
75432;SUBLUSSAZIONE CONGENITA DELL'ANCA, UNILATERALE;0;0;1;0
75617;SPINA BIFIDA OCCULTA;0;0;1;0
7562;COSTOLA CERVICALE;0;0;1;0
7563;ALTRE ANOMALIE DELLE COSTOLE E DELLO STERNO;0;0;1;0
7542;DEFORMITA POSTURALI DELLA COLONNA;0;0;1;0
7441;PADIGLIONI AURICOLARI  ACCESSORI;0;0;1;0
74422;MACROTIA;0;0;1;0
74441;CISTI O FISTOLA BRANCHIALE;0;0;1;0
74442;CISTI BRANCHIALE;0;0;1;0
74443;PADIGLIONE AURICOLARE CERVICALE;0;0;1;0
74446;SENO O FISTOLA PREAURICOLARE;0;0;1;0
74449;ALTRE DELLE CISTI O FISTOLA BRANCHIALE;0;0;1;0
74483;MACROSTOMIA;0;0;1;0
74481;MACROCHEILIA;0;0;1;0
74482;MICROCHEILIA;0;0;1;0
74484;MICROSTOMIA;0;0;1;0
75311;CISTI RENALE CONGENITA, SINGOLA;0;0;1;0
75452;METATARSO VARO PRIMITIVO;0;0;1;0
75481;PECTUS EXCAVATUM;0;0;1;0
75482;PETTO CARENATO;0;0;1;0
7591;ANOMALIE DELLA GHIANDOLA SURRENE;0;0;1;0
760;CONDIZIONI MORBOSE DEL FETO O DEL NEONATO DERIVANTI DA PATOLOGIA MATERNA ANCHE NON CORRELATA ALLA GRAVIDANZA ATTUALE;0;0;1;0
7455;DIFETTO DEL SETTO ATRIALE TIPO OSTIUM SECUNDUM;0;0;1;0
7710;ROSOLIA CONGENITA;0;0;1;0
74489;ALTRE ANOMALIE NON SPECIFICATE DELLA FACCIA E DEL COLLO;0;0;1;0
74609;ALTRE ANOMALIE CONGENITE DEL CUORE NON SPECIFICATE;0;0;1;0
7479;ANOMALIE NON SPECIFICATE DEL SISTEMA CIRCOLATORIO;0;10;0;0
75459;ALTRA MALFORMAZIONI DEL PIEDE IN VARISMO;0;0;1;0
7547;ALTRE MALFORMAZIONI DEL PIEDE;0;0;1;0
7548;ALTRE ANOMALIE SPECIFICATE NON TERATOGENICHE;0;0;1;0
75489;ALTRE ANOMALIE NON SPECIFICATE NON TERATOGENICHE;0;0;1;0
7599;ANOMALIE CONGENITE, NON SPECIFICATE;0;0;1;0
3313;IDROCEFALO COMUNICANTE;37;0;0;0
3314;IDROCEFALO OSTRUTTIVO;37;0;0;0
7712;ALTRE INFEZIONI CONGENITE, SPECIFICHE DEL PERIODO PERINATALE;0;0;1;0
2280;EMANGIOMA, OGNI SEDE;0;0;1;0
22801;EMANGIOMA DELLA CUTE E DEL TESSUTO SOTTOCUTANEO;0;0;1;0
22804;EMANGIOMA DELLE STRUTTURE INTRAADDOMINALI;0;0;1;0
22809;EMANGIOMA DI ALTRE SEDI;0;0;1;0
243;IPOTIROIDISMO CONGENITO;0;0;1;0
2599;DISORDINE ENDOCRINO NON SPECIFICATO;0;0;1;0
36900;CECITA DI ENTRAMBI GLI OCCHI, LIVELLO DI DANNO NON ULTERIORMENTE SPECIFICATO;0;0;1;0
37103;OPACITA CENTRALE DELLA CORNEA;0;0;1;0
37743;IPOPLASIA DEL NERVO OTTICO;0;0;1;0
4481;NEVO, NON NEOPLASTICO;0;0;1;0
4489;ALTRE E NON SPECIFICATE MALATTIE DEI CAPILLARI;0;0;1;0
5260;CISTI ODONTOGENICHE DELLO SVILUPPO;0;0;1;0
59382;FISTOLA URETERALE;0;0;1;0
5939;PATOLOGIA NON SPECIFICATA DEL RENE E DELL'URETERE;0;0;1;0
6202;ALTRA CISTE OVARICA NON SPECIFICATA;0;0;1;0
70900;DISCROMIA, NON SPECIFICATA;0;0;1;0
