ICD9;Patologia
7436;MALF PALPEB/LACRIMAL/ORB
74362;DEFORM CONG PALPEBRA
74363;MALF SPECIF PALPEBRA NAS
74364;MALF SPECIF GHIAND LACR
74365;MALF SPECIF VIE LACRIM
74369;ALTR MALF PALP/LACR/ORB
7438;ALTRE ANOMALIE CEREBRALI SPECIFICATE
7439;ALTRE ANOMALIE CEREBRALI NON SPECIFICATE
74421;ASSENZ CONG LOBO ORECCH
74422;MACROTIA
74429;ALTRA MALFORM ORECCHIO
7443;MALFORM ORECCHIO SAI
74447;CISTI PREAURICOLARE
7448;MALF CONG FACC/COLLO NIA
74481;MACROCHEILIA
74482;MICROCHEILIA
74483;MACROSTOMIA
74484;MICROSTOMIA
74489;ALTR MALF CONG FACC/COLL
7449;MALF CONG FACC/COLLO SAI
74686;BLOCCO CARD CONGENITO
74689;ALTRE ANOM CONG DEL CUORE
7475;ASSENZA ART OMBELICALE
74783;CIRCOLAZIONE FETALE PERSISTENTE
74860;MALF POLM SAI
74869;ALTRE MALF LARING/TRAC
7488;MALF RESPIRAT NIA
7489;MALF RESPIRAT SAI
7500;LINGUA LEGATA
7501;ALTRE ANOMALIE LINGUA
75010;MALF LINGUA SAI
75012;ADERENZ CONG LINGUA
75013;FESSURA DELLA LINGUA
75016;MICROGLOSSIA
75021;ASSENZA DI GHIANDOLE SALIVARI
75022;GHIANDOLE SALIVARI ACCESSORIE
75023;ATRESIA DEL DOTTO SALIVARE
75024;FISTOLA CONGENITA DELLA GHIANDOLA SALIVARE
7505;STENOSI PILORICA CONG
7506;ERNIA IATALE CONGENITA
7509;MALF VIE DIGER SUPER SAI
7510;DIVERTICOLO DI MECKEL
7525;RITENZIONE TESTICOLO
75251;TESTICOLO NON DISCESO
75252;TESTICOLO RETRATTILE
75265;PENE NASCOSTO
7541;MUSC STERNOCLEIDOM CONG
75432;SUBLUSS CONG ANCA UNIL
75433;SUBLUSS CONG ANCA BILAT
7548;ALTRE ANOMALIE SPECIFICATE NON TERATOGENICHE
75513;SINDATTILIA PIEDE SENZA FUSIONE OSSO
75562;COXA VARA, CONGENITA
75563;MALFOR CONG ANCA NAS
75566;MALF DITA PIEDI NAS
7570;EDEMA EREDITARIO GAMBA
7572;ANOMALIE DERMATOGLIFICHE
7579;MALF TEGUMENTI SAI
74424;ANOMALIE SPECIFICATE DELLA TUBA DI EUSTACHIO
7574;MALF PELO NAS
75552;ELEVAZIONE CONGENITA DELLA SCAPOLA
7592;ANOMALIE DI ALTRE GHIANDOLE ENDOCRINE
