ID;Variabile SDO;Variabile CedAP;Tracciato;Origine;clean;data_type
1;cedap_linked;NA;cedap_linked;SDO;1;numeric
2;NA;COD_STAB;COD_STAB;CedAP;0;character
3;COD_RG;NA;COD_RG;SDO;1;numeric
4;COD_PRES;COD_PRES;COD_PRES;SDO;0;numeric
5;AA_SDO;NA;AA_SDO;SDO;1;numeric
6;PROG_SDO;PROG_SDO;PROG_SDO;SDO;0;numeric
7;NA;SDO_MADRE;SDO_MADRE;CedAP;0;numeric
8;NA;SDO_NEO;SDO_NEO;CedAP;0;numeric
9;AA_DIM;NA;AA_DIM;SDO;0;numeric
10;COD_AZI;COD_AZI;COD_AZI;SDO;0;numeric
11;COM_RES;comune_residenza_madre;COM_RES;SDO;1;numeric
12;dt_amm;NA;dt_amm;SDO;0;character
13;dt_dim;NA;dt_dim;SDO;0;character
14;COD_DISD;NA;COD_DISD;SDO;0;numeric
15;DRG_RG;NA;DRG_RG;SDO;0;numeric
16;TIPO_DRG;NA;TIPO_DRG;SDO;0;character
17;ETA;NA;ETA;SDO;0;numeric
18;ETA_GG;NA;ETA_GG;SDO;0;numeric
19;GG_DEG;NA;GG_DEG;SDO;0;numeric
20;GG_DEGOP;NA;GG_DEGOP;SDO;0;numeric
21;MOD_DIM;NA;MOD_DIM;SDO;0;numeric
22;MPR;NA;MPR;SDO;0;numeric
23;NEO_TRASF;NA;NEO_TRASF;SDO;0;numeric
24;COD_PAT1;Malformazione_diagnosticata_1;COD_PAT1;SDO;0;numeric
25;FLAG_PAT;NA;FLAG_PAT;SDO;1;numeric
26;PESO_GR;PESO;PESO_GR;SDO;0;numeric
27;PROV_RES;NA;PROV_RES;SDO;1;numeric
28;REGIME_R;NA;REGIME_R;SDO;0;numeric
29;RG_RES;NA;RG_RES;SDO;1;numeric
30;SEX;Sesso;SEX;SDO;1;character
31;SUB_COD;NA;SUB_COD;SDO;0;numeric
32;PROG_PAZ;prog_paz_neo;PROG_PAZ;SDO;1;numeric
33;NA;prog_paz_m;prog_paz_m;CedAP;0;numeric
34;patol2;Malformazione_diagnosticata_2;patol2;SDO;0;numeric
35;patol3;Malformazione_diagnosticata_3;patol3;SDO;0;numeric
36;patol4;NA;patol4;SDO;0;numeric
37;patol5;NA;patol5;SDO;0;numeric
38;patol6;NA;patol6;SDO;0;numeric
39;interv1;NA;interv1;SDO;0;numeric
40;interv2;NA;interv2;SDO;0;numeric
41;interv3;NA;interv3;SDO;0;numeric
42;interv4;NA;interv4;SDO;0;numeric
43;interv5;NA;interv5;SDO;0;numeric
44;interv6;NA;interv6;SDO;0;numeric
45;interv7;NA;interv7;SDO;0;numeric
46;interv8;NA;interv8;SDO;0;numeric
47;interv9;NA;interv9;SDO;0;numeric
48;interv10;NA;interv10;SDO;0;numeric
49;interv11;NA;interv11;SDO;0;numeric
50;ospedale;NA;ospedale;SDO;1;character
51;dt_nasc;dt_parto;dt_nasc;SDO;1;Date
52;cohort;NA;cohort;SDO;1;numeric
53;daysAfterDelivery;NA;daysAfterDelivery;SDO;0;numeric
54;validated;NA;validated;SDO;0;numeric
55;validation_type;NA;validation_type;SDO;0;character
56;eta_gestazionale;eta_gestazionale;eta_gestazionale;SDO;0;numeric
57;CIRCONFERENZA_CRANICA;CIRCONFERENZA_CRANICA;CIRCONFERENZA_CRANICA;SDO;1;numeric
58;CONCEPIMENTI_PRECEDENTI;CONCEPIMENTI_PRECEDENTI;CONCEPIMENTI_PRECEDENTI;SDO;1;character
59;sds_cc;NA;sds_cc;SDO;1;numeric
60;violazione_filtro;NA;violazione_filtro;SDO;0;logical
61;malformazione_tipo;NA;malformazione_tipo;SDO;0;character
62;score;NA;score;SDO;0;numeric
63;NA;nati_femmine;nati_femmine;CedAP;0;numeric
64;NA;nati_maschi;nati_maschi;CedAP;0;numeric
65;NA;riscontro_autoptico;riscontro_autoptico;CedAP;0;numeric
66;NA;Genere_del_parto;Genere_del_parto;CedAP;0;numeric
67;NA;data_nascita_padre;data_nascita_padre;CedAP;0;numeric
68;NA;ALTRA_MALATTIA_DELLA_MADRE;ALTRA_MALATTIA_DELLA_MADRE;CedAP;0;logical
69;NA;STATO_CIVILE_MADRE;STATO_CIVILE_MADRE;CedAP;0;character
70;NA;MALATTIA_PRINCIPALE_DELLA_MADRE;MALATTIA_PRINCIPALE_DELLA_MADRE;CedAP;0;logical
71;NA;metodi_PMA;metodi_PMA;CedAP;0;numeric
72;NA;ECOGRAFIA_OLTRE22SETTIMANE;ECOGRAFIA_OLTRE22SETTIMANE;CedAP;0;numeric
73;NA;FETOSCOPIA;FETOSCOPIA;CedAP;0;numeric
74;NA;VILLOCENTESI;VILLOCENTESI;CedAP;0;numeric
75;NA;AMNIOCENTESI;AMNIOCENTESI;CedAP;0;numeric
76;NA;TEST_COMBINATO;TEST_COMBINATO;CedAP;0;numeric
77;NA;CITTADINANZA_M;CITTADINANZA_M;CedAP;0;numeric
78;NA;VITALITA;VITALITA;CedAP;0;numeric
79;NA;NUMERO_ECOGRAFIE;NUMERO_ECOGRAFIE;CedAP;0;numeric
80;NA;CONSANGUINEITA;CONSANGUINEITA;CedAP;0;numeric
81;NA;dt_nas_m;dt_nas_m;CedAP;0;character
82;NA;PESO_MADRE_AL_PARTO;PESO_MADRE_AL_PARTO;CedAP;0;numeric
83;NA;PESO_MADRE_PREGRAVIDICO;PESO_MADRE_PREGRAVIDICO;CedAP;0;numeric
84;NA;ALTEZZA_MADRE;ALTEZZA_MADRE;CedAP;0;numeric
85;NA;ABITUDINE_AL_FUMO;ABITUDINE_AL_FUMO;CedAP;0;numeric
86;NA;MALATTIE_INSORTE_IN_GRAVIDANZA_1;MALATTIE_INSORTE_IN_GRAVIDANZA_1;CedAP;0;logical
87;NA;MALATTIE_INSORTE_IN_GRAVIDANZA_2;MALATTIE_INSORTE_IN_GRAVIDANZA_2;CedAP;0;logical
88;NA;MALFORMAZIONI_MADRE;MALFORMAZIONI_MADRE;CedAP;0;numeric
89;NA;MALFORMAZIONI_PADRE;MALFORMAZIONI_PADRE;CedAP;0;numeric
90;NA;MALFORMAZIONI_GENITORI_MADRE;MALFORMAZIONI_GENITORI_MADRE;CedAP;0;numeric
91;NA;MALFORMAZIONI_GENITORI_PADRE;MALFORMAZIONI_GENITORI_PADRE;CedAP;0;numeric
92;NA;MALFORMAZIONI_PARENTI_MADRE;MALFORMAZIONI_PARENTI_MADRE;CedAP;0;numeric
93;NA;MALFORMAZIONI_PARENTI_PADRE;MALFORMAZIONI_PARENTI_PADRE;CedAP;0;numeric
94;NA;MALFORMAZIONI_FRATELLI_SORELLE;MALFORMAZIONI_FRATELLI_SORELLE;CedAP;0;numeric
95;NA;ETA_GESTAZIONALE_ALLA_DIAGNOSI;ETA_GESTAZIONALE_ALLA_DIAGNOSI;CedAP;0;numeric
96;NA;CARIOTIPO_DEL_NATO;CARIOTIPO_DEL_NATO;CedAP;0;character
97;NA;CONDIZIONE_PROF_PADRE;CONDIZIONE_PROF_PADRE;CedAP;0;numeric
98;NA;TITOLO_DI_STUDIO_PADRE;TITOLO_DI_STUDIO_PADRE;CedAP;0;numeric
99;NA;CONDIZIONE_PROF_MADRE;CONDIZIONE_PROF_MADRE;CedAP;0;numeric
100;NA;TITOLO_DI_STUDIO_MADRE;TITOLO_DI_STUDIO_MADRE;CedAP;0;numeric
