Icd;lab_pat;DescrIntervento;CodInterv;Filler
7529;ANOMALIE NON SPECIFICATE DEGLI ORGANI GENITALI;ORCHIECTOMIA MONOLATERALE;623;
74923;PALATOSCHISI CON LABIOSCHISI BILATERALE, COMPLETA;TRASFERIMENTO DI INNESTO PEDUNCOLATO A LEMBO IN ALTRE SEDI;8674;
22801;EMANGIOMA DELLA CUTE E DEL TESSUTO SOTTOCUTANEO;ALTRA ASPORTAZIONE DI TESSUTI MOLLI;8349;
22801;EMANGIOMA DELLA CUTE E DEL TESSUTO SOTTOCUTANEO;ASPORTAZIONE RADICALE DI LESIONE DELLA CUTE;864;
2281;LINFANGIOMA, OGNI SEDE;ASPORTAZIONE SEMPLICE DI ALTRE STRUTTURE LINFATICHE;4029;
3314;IDROCEFALO OSTRUTTIVO;ALTRA ASPORTAZIONE O DEMOLIZIONE DI LESIONE O TESSUTO CEREBRALE;0159;
3314;IDROCEFALO OSTRUTTIVO;ALTRA CRANIECTOMIA;0125;
3314;IDROCEFALO OSTRUTTIVO;ALTRA CRANIOTOMIA;0124;
3314;IDROCEFALO OSTRUTTIVO;ALTRA OCCLUSIONE CHIRURGICA DI ALTRI VASI TORACICI;3885;
3314;IDROCEFALO OSTRUTTIVO;ALTRI INTERVENTI PER IL DRENAGGIO VENTRICOLARE;0239;
3314;IDROCEFALO OSTRUTTIVO;ANASTOMOSI FRA VENTRICOLO E STRUTTURE DELLA TESTA E DEL COLLO;0231;
3314;IDROCEFALO OSTRUTTIVO;ANASTOMOSI FRA VENTRICOLO, CAVITA' ADDOMINALE E SUOI ORGANI;0234;
3314;IDROCEFALO OSTRUTTIVO;ANASTOMOSI SPINALE SUBARACNOIDEO-PERITONEALE;0371;
3314;IDROCEFALO OSTRUTTIVO;INCISIONE DELLE MENINGI CEREBRALI;0131;
3314;IDROCEFALO OSTRUTTIVO;RIMOZIONE DI ANASTOMOSI VENTRICOLARE;0243;
3314;IDROCEFALO OSTRUTTIVO;SOSTITUZIONE DI ANASTOMOSI VENTRICOLARE;0242;
3314;IDROCEFALO OSTRUTTIVO;VENTRICOLOSTOMIA;022;
3480;CISTI CEREBRALI;VENTRICOLOSTOMIA;022;
37103;OPACITA CENTRALE DELLA CORNEA;RICOSTRUZIONE DELLA PALPEBRA INTERESSANTE IL MARGINE PALPEBRALE, A TUTTO SPESSORE;0873;
37743;IPOPLASIA DEL NERVO OTTICO;ESAME DELL'OCCHIO SOTTO ANESTESIA;9504;
38912;SORDITÀ NEURALE BILATERALE;IMPIANTO O SOSTITUZIONE DI APPARECCHIO PROTESICO COCLEARE, CANALE MULTIPLO;2098;
3892;SORDITA MISTA DI CONDUZIONE E NEUROSENSORIALE;IMPIANTO O SOSTITUZIONE DI APPARECCHIO PROTESICO COCLEARE, CANALE MULTIPLO;2098;
4481;NEVO, NON NEOPLASTICO;ASPORTAZIONE RADICALE DI LESIONE DELLA CUTE;864;
